name,is_accessible,repository
simplenote-android,No,https://github.com/Automattic/simplenote-android
natrium_wallet_flutter,No,https://github.com/appditto/natrium_wallet_flutter
SmartCookieWeb,No,https://github.com/CookieJarApps/SmartCookieWeb
Musify,No,https://github.com/gokadzev/Musify
kickstarter/android-oss,No,https://github.com/kickstarter/android-oss
IceCubesApp,No,https://github.com/Dimillian/IceCubesApp
Cashew,No,https://github.com/jameskokoska/Cashew
authpass,No,https://github.com/authpass/authpass
maston-ios,No,https://github.com/mastodon/mastodon-ios
medito-app,No,https://github.com/meditohq/medito-app
openfoodfacts-dart,No,https://github.com/openfoodfacts/openfoodfacts-dart
Telegram,No,https://github.com/DrKLO/Telegram
revanced-manager,No,https://github.com/ReVanced/revanced-manager
Twidere-Android,No,https://github.com/TwidereProject/Twidere-Android
smooth-app,No,https://github.com/openfoodfacts/smooth-app
muzei,No,https://github.com/muzei/muzei
Simple-Gallery,No,https://github.com/SimpleMobileTools/Simple-Gallery
firefox-android,No,https://github.com/mozilla-mobile/firefox-android
WordPress-Android,No,https://github.com/wordpress-mobile/WordPress-Android
mobile,No,https://github.com/freeCodeCamp/mobile
wikipedia-ios,No,https://github.com/wikimedia/wikipedia-ios
rustdesk,No,https://github.com/rustdesk/rustdesk
linchess-org/mobile,No,https://github.com/lichess-org/mobile
cake_wallet,No,https://github.com/cake-tech/cake_wallet
StreetComplete,No,https://github.com/streetcomplete/StreetComplete
VLC-android,No,https://github.com/videolan/vlc-android
Signal-iOS,No,https://github.com/signalapp/Signal-iOS
OsmAnd,No,https://github.com/osmandapp/OsmAnd
AppFlowly,No,https://github.com/AppFlowy-IO/AppFlowy
habitica-ios,No,https://github.com/HabitRPG/habitica-ios
ente,No,https://github.com/ente-io/ente
Anki-Android,No,https://github.com/ankidroid/Anki-Android
home-assistant/android,No,https://github.com/home-assistant/android
zulip-flutter,No,https://github.com/zulip/zulip-flutter
nextcloud-cookbook-flutter,No,https://github.com/Teifun2/nextcloud-cookbook-flutter
flutter_catalog,No,https://github.com/X-Wei/flutter_catalog
Simple-Calendar,No,https://github.com/SimpleMobileTools/Simple-Calendar
habitica,No,https://github.com/HabitRPG/habitica
tasks,No,https://github.com/tasks/tasks
admin-portal,No,https://github.com/invoiceninja/admin-portal
aves,No,https://github.com/deckerst/aves
Signal-Android,No,https://github.com/signalapp/Signal-Android
fluffychat,No,https://github.com/krille-chan/fluffychat
Minimal-Todo,No,https://github.com/avjinder/Minimal-Todo
flutter-plugin,No,https://github.com/google-pay/flutter-plugin
mapper,No,https://github.com/lyft/mapper
Toughest,No,https://github.com/MDSADABWASIM/Toughest
showly,No,https://github.com/michaldrabik/showly
BeAware,Yes,https://github.com/BeAware-DeafAssistant/mobile
Whisperboard,Yes,https://github.com/Saik0s/Whisperboard
Wikipedia Android,Yes,https://github.com/wikimedia/apps-android-wikipedia
Wikipedia iOS,Yes,https://github.com/wikimedia/wikipedia-ios
QuranApp,Yes,https://github.com/AlfaazPlus/QuranApp
Oinkoin,No,https://github.com/emavgl/oinkoin
ProtonMail/android-mail,No,https://github.com/ProtonMail/android-mail
ProtonMail/ios-mail,No,https://github.com/ProtonMail/ios-mail
Daily_You,No,https://github.com/Demizo/Daily_You
NewPipe,No,https://github.com/TeamNewPipe/NewPipe
https://github.com/deniscerri/ytdlnis,No,https://github.com/deniscerri/ytdlnis
Obtanium,No,https://github.com/ImranR98/Obtainium
PipePipe,No,https://github.com/InfinityLoop1308/PipePipe
OrganicMaps,No,https://github.com/organicmaps/organicmaps
LibreraReader,No,https://github.com/foobnix/LibreraReader
Thunderbird-android,No,https://github.com/thunderbird/thunderbird-android
DuckDuckGo,No,https://github.com/duckduckgo/Android
Signal Android,No,https://github.com/signalapp/Signal-Android
Nextcloud Android,No,https://github.com/nextcloud/android
K-9 Mail / Thunderbird,No,https://github.com/thunderbird/thunderbird-android
Wikipedia Android,No,https://github.com/wikimedia/apps-android-wikipedia
Tusky (Mastodon),No,https://github.com/tuskyapp/Tusky
AntennaPod,No,https://github.com/AntennaPod/AntennaPod
Organic Maps,No,https://github.com/organicmaps/organicmaps
Catima,No,https://github.com/CatimaLoyalty/Android
Breezy Weather,No,https://github.com/breezy-weather/breezy-weather
Fossify Phone,No,https://github.com/FossifyOrg/Phone
KDE Connect,No,https://github.com/KDE/kdeconnect-android
Grocy Android,No,https://github.com/patzly/grocy-android
Lichess Mobile,No,https://github.com/lichess-org/mobile
Immich,No,https://github.com/immich-app/immich
Open Food Facts,No,https://github.com/openfoodfacts/smooth-app
Invoice Ninja,No,https://github.com/invoiceninja/admin-portal
Wger Workout,No,https://github.com/wger-project/flutter
Ente Photos,No,https://github.com/ente-io/ente
Spotube,No,https://github.com/KRTirtho/spotube
Nextcloud Neon,No,https://github.com/nextcloud/neon
Saber Notes,No,https://github.com/saber-notes/saber
Monekin,No,https://github.com/enrique-lozano/monekin
Findroid (Jellyfin),No,https://github.com/jarnedemeulemeester/findroid
FlutterFolio,No,https://github.com/gskinnerteam/flutter-folio
Kickstarter iOS,No,https://github.com/kickstarter/ios-oss
Home Assistant iOS,No,https://github.com/home-assistant/iOS
Mastodon iOS,No,https://github.com/mastodon/mastodon-ios
Nextcloud iOS,No,https://github.com/nextcloud/ios
Wire iOS,No,https://github.com/wireapp/wire-ios
VLC iOS,No,https://github.com/videolan/vlc-ios
OneBusAway iOS,No,https://github.com/OneBusAway/onebusaway-ios
Simplenote iOS,No,https://github.com/Automattic/simplenote-ios